Common;true
Liquids;true
Calibration;false
Service;false
Common;null;true
Common;Studies;true
Liquids;Std 1D;true
Liquids;(HH)Homo2D;true
Liquids;J1(CH)corr;true
Liquids;Jn(CH)corr;true
Liquids;(H)Sel1D;true
Liquids;Sel2D;true
Liquids;(HC)Crisis2;true
Liquids;(HC)HetToxys;false
Liquids;HF_Expts;true
Liquids;(CC)corr;false
Liquids;JSpectra;true
Liquids;Hadamard;true
Liquids;Dosy 2D;false
Liquids;Dosy 3D;false
Calibration;null;false
Service;null;false
Common;null;null;true
Common;Studies;null;true
Liquids;Std 1D;null;true
Liquids;(HH)Homo2D;null;true
Liquids;J1(CH)corr;null;true
Liquids;Jn(CH)corr;null;true
Liquids;(H)Sel1D;null;true
Liquids;Sel2D;null;true
Liquids;(HC)Crisis2;null;true
Liquids;(HC)HetToxys;null;false
Liquids;HF_Expts;null;true
Liquids;(CC)corr;null;false
Liquids;JSpectra;null;true
Liquids;Hadamard;null;true
Liquids;Dosy 2D;null;false
Liquids;Dosy 3D;null;false
Calibration;null;null;false
Service;null;null;false
Liquids;(H)Sel1D;null;zTOCSY1D;true
Liquids;(H)Sel1D;null;selexcit;true
Liquids;(H)Sel1D;null;stepNOESY1D;true
Liquids;Sel2D;null;bsHSQCAD;true
Liquids;Sel2D;null;bsgHSQCAD;true
Liquids;Sel2D;null;bsgHMBC;true
Liquids;Sel2D;null;EXSIDE;true
Liquids;Sel2D;null;bsHSQCNOESY;true
Liquids;Sel2D;null;bsHSQCROESY;true
Liquids;Sel2D;null;bashdROESY;true
Liquids;Sel2D;null;bashdTOCSY;true
Liquids;Sel2D;null;bashdNOESY;true
Liquids;(HC)Crisis2;null;c2hsqcse;true
Liquids;(HC)Crisis2;null;c2hsqc;true
Liquids;(HC)Crisis2;null;gc2h2bcme;true
Liquids;(HC)Crisis2;null;gc2h2bc;true
Liquids;(HC)Crisis2;null;gc2hmbcme;true
Liquids;(HC)Crisis2;null;gc2hmbc;true
Liquids;(HC)Crisis2;null;gc2hsqcse;true
Liquids;(HC)Crisis2;null;gc2hsqc;true
Liquids;(HC)HetToxys;null;HSQCADTOXY;false
Liquids;(HC)HetToxys;null;gHSQCADTOXY;false
Liquids;(HC)HetToxys;null;HSQCTOXY;false
Liquids;(HC)HetToxys;null;gHSQCTOXY;false
Liquids;(HC)HetToxys;null;HMQCTOXY;false
Liquids;(HC)HetToxys;null;gHMQCTOXY;false
Liquids;HF_Expts;null;FH_gHETCOR;true
Liquids;HF_Expts;null;FH_HOESY;true
Liquids;HF_Expts;null;FObs_HDec;true
Liquids;HF_Expts;null;HObs_FDec;true
Liquids;(CC)corr;null;INADEQUATE;false
Liquids;(CC)corr;null;INADEQUATEAD;false
Liquids;(CC)corr;null;ADEQUATEAD;false
Liquids;JSpectra;null;HETERO2DJ;true
Liquids;JSpectra;null;HOMO2DJ;true
Liquids;Hadamard;null;dqcosyHT;true
Liquids;Hadamard;null;gcosyHT;true
Liquids;Hadamard;null;hetcorHT;true
Liquids;Hadamard;null;hmbcHT;true
Liquids;Hadamard;null;hsqcHT;true
Liquids;Hadamard;null;hsqctocsyHT;true
Liquids;Hadamard;null;noesyHT;true
Liquids;Hadamard;null;roesyHT;true
Liquids;Hadamard;null;tocsyHT;true
Liquids;Dosy 2D;null;Dbppste_cc;false
Liquids;Dosy 2D;null;Dbppsteinept;false
Liquids;Dosy 2D;null;Dbppste_wg;false
Liquids;Dosy 2D;null;Dbppste;false
Liquids;Dosy 2D;null;DgcsteSL_cc;false
Liquids;Dosy 2D;null;DgcsteSL_dpfgse;false
Liquids;Dosy 2D;null;DgcsteSL;false
Liquids;Dosy 2D;null;DgsteSL_cc;false
Liquids;Dosy 2D;null;Doneshot;false
Liquids;Dosy 2D;null;Dpfgdste;false
Liquids;Dosy 3D;null;Dbppste_ghsqcse;false
Liquids;Dosy 3D;null;Dcosyidosy;false
Liquids;Dosy 3D;null;Dgcstecosy;false
Liquids;Dosy 3D;null;Dgcstehmqc_ps;false
Liquids;Dosy 3D;null;Dgcstehmqc;false
Liquids;Dosy 3D;null;Dghmqcidosy;false
Liquids;Dosy 3D;null;Dhom2djidosy;false
Calibration;null;null;ch3iCalib;false
Calibration;null;null;ATCalib;false
Calibration;null;null;BenzCalib;false
Calibration;null;null;ATN15Calib;false
Calibration;null;null;z0gmap;false
Service;null;null;BasicExpts;false
Service;null;null;Lineshape;false
Service;null;null;FastLineshape;false
